tissue	cell_type_major	cell_type_minor	cell_type_subset	exp	markers
Immune	T cell	NK cell	NK cell	pos	"Itgam,Cd27,Il2rb,Klrb1c,Itga2,Klra,Klra5,Klra19,Klra26,Klra27,Klra1,Klra2,Klra4,Klra6,Klra7,Klra8,Klra10,Klra12,Klra15,Klra16,Klra17,Klra18,Klra20,Klra21,Klra22,Klra23,Klrc1,Klrc2,Klrc3,Klrd1,Klre1,Klri1,Klri2,Klrk1,"
Immune	T cell	NK cell	NK cell	neg	"Cd3d,Cd3e,Cd3g,Il7ra"
Immune	T cell	NK cell	NK cell	sec	"Gzmb,Ifng,Prf1"
Immune	T cell	ILC	ILCreg	pos	"Il2ra,Ptprc,Thy1,Il2rb,Il7ra,Ly6a,Tgfbr1,Tgfbr2,Id3,Sox4"
Immune	T cell	ILC	ILCreg	neg	"Cd3d,Cd3e,Cd3g,Cd5,Itgam,Cd19,Ly6g,Ly76,Cd4,Klrg1,Klrb1c,Ncr1,Il33"
Immune	T cell	ILC	ILCreg	sec	"Il10,Tgfb1"
Immune	B cell	B cell	B cell (Follicular)	pos	"Ptprc,Cd1d1,Cd19,Cr2,Cd22,Fcer2a,Cd24a,Cd38,Cxcr5,Ighd,Ighm,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-DMb2,H2-Ea,H2-Eb1,H2-Eb2,H2-Oa,H2-Ob,Sell,Pax5"
Immune	B cell	B cell	B cell (Follicular)	neg	"Spn,Cd93"
Immune	B cell	B cell	B cell (MZ)	pos	"Ptprc,Cd1d1,Cd9,Cd19,Cr2,Cd22,Cr1l,Ighd,Ighm,Ebf1,Tcf3,Slc22a2,Slc22a3,Pax5"
Immune	B cell	B cell	B cell (MZ)	neg	"Spn,Cd93"
Immune	B cell	B cell	B cell(Memory)	pos	"Nt5e,Cd80,Ptprc,Cd19,Cr2,Cd27,Cd40,Fas,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-DMb2,H2-Ea,H2-Eb1,H2-Eb2,H2-Oa,H2-Ob,Pdcd1lg2,Pou2af1,Pax5,Spib"
Immune	B cell	Plasma cell	Plasma cell	pos	"Ptprc,Tnfrsf17,Cd19,Cd27,Cd93,Slc3a2,Cxcr4,Ly6k,Ly6a,Sdc1"
Immune	B cell	Plasma cell	Plasma cell	neg	Ighd
Immune	B cell	B cell	B cell (Breg)	pos	"Cd1d1,Cd5,Cd19,Cr2,Fcer2a,Cd24a,Cd40,Ighd,Ighm,Havcr1,Ebf1,Tcf3,Slc22a2,Pax5"
Immune	B cell	B cell	B cell (Breg)	neg	Sell
Immune	B cell	B cell	B cell (Breg)	sec	"Il10,Il35,Tgfb"
